# Time: 8.8e-05
# Grid: 251 x 251
# Region: [0.03, -0.035] to [0.06, 0.035]
x,y,pressure
0.03,-0.035,-30.22931979889033
0.03,-0.03472,-30.22931979948225
0.03,-0.034440000000000005,-30.229319800096015
0.03,-0.03416,-30.229319800734853
0.03,-0.03388,-30.2293198009079
0.03,-0.033600000000000005,-30.229319801381813
0.03,-0.03332,-30.229319801799
0.03,-0.03304,-30.229319803034066
0.03,-0.032760000000000004,-30.229319804566334
0.03,-0.03248,-30.229319805125183
0.03,-0.032200000000000006,-30.229319805553494
0.03,-0.031920000000000004,-30.229319806501668
0.03,-0.03164,-30.229319807305544
0.03,-0.031360000000000006,-30.229319807811937
0.03,-0.031080000000000003,-30.229319808268936
0.03,-0.0308,-30.229319808094008
0.03,-0.030520000000000002,-30.229319808904375
0.03,-0.030240000000000003,-30.229319809527805
0.03,-0.029960000000000004,-30.229319810177625
0.03,-0.02968,-30.22931981108105
0.03,-0.029400000000000003,-30.22931981243564
0.03,-0.029120000000000004,-30.229319812951555
0.03,-0.028840000000000005,-30.229319812536392
0.03,-0.028560000000000002,-30.229319813821633
0.03,-0.028280000000000003,-30.22931981441245
0.03,-0.028000000000000004,-30.22931981485031
0.03,-0.02772,-30.229319815299846
0.03,-0.027440000000000003,-30.22931981565254
0.03,-0.027160000000000004,-30.22931981610364
0.03,-0.02688,-30.229319816525816
0.03,-0.026600000000000002,-30.229319817385452
0.03,-0.026320000000000003,-30.229319818275705
0.03,-0.02604,-30.229319819142994
0.03,-0.02576,-30.229319819676036
0.03,-0.025480000000000003,-30.229319820964836
0.03,-0.0252,-30.229319821137025
0.03,-0.024920000000000005,-30.22931982067483
0.03,-0.024640000000000002,-30.229319820780642
0.03,-0.02436,-30.22931982182437
0.03,-0.024080000000000004,-30.22931982247813
0.03,-0.0238,-30.229319823144127
0.03,-0.023520000000000003,-30.229319824596963
0.03,-0.023240000000000004,-30.22931982501299
0.03,-0.02296,-30.229319824812784
0.03,-0.022680000000000002,-30.2293198253003
0.03,-0.022400000000000003,-30.229319827018056
0.03,-0.02212,-30.229319828588654
0.03,-0.021840000000000002,-30.22931982802309
0.03,-0.021560000000000003,-30.22931982815705
